rapid_accelerations,hard_brakes,sharp_turns,night_hours_driving,driver_safety_rating
5,8,3,1.2,36.6
11,1,9,2.2,24.9
7,14,4,1.1,10.0
9,4,6,3.3,29.8
4,9,8,3.8,17.9
7,6,0,4.7,41.0
1,14,0,6.1,28.9
10,13,5,0.8,10.0
7,9,5,7.0,10.0
6,14,3,5.6,10.0
6,9,7,0.9,20.3
9,3,4,3.0,37.9
8,6,2,3.0,37.0
9,10,4,5.6,10.0
8,12,9,1.2,10.0
1,14,9,0.5,10.6
2,0,9,0.2,65.5
2,7,5,6.9,34.6
8,9,5,5.0,10.0
9,3,0,0.2,54.5
10,2,7,7.5,16.6
3,2,1,0.9,78.6
10,9,0,6.0,13.8
4,11,1,6.8,22.0
10,7,6,5.2,10.0
11,14,2,0.6,10.0
10,12,2,4.5,10.0
1,14,8,3.6,10.0
6,10,9,6.1,10.0
0,13,6,2.2,22.5
2,2,8,5.6,49.8
4,1,6,1.6,59.8
8,7,0,5.7,26.3
4,6,3,2.1,49.1
5,11,3,7.9,10.0
7,11,5,7.4,10.0
4,11,8,4.1,10.0
6,3,6,5.6,36.0
8,5,2,6.5,27.0
5,9,7,5.5,10.7
11,7,5,6.5,10.0
3,7,5,2.5,38.6
8,1,5,1.0,48.3
2,2,5,1.0,65.0
2,7,6,5.2,36.7
10,10,8,3.8,10.0
11,12,5,6.5,10.0
9,8,7,0.5,13.6
1,2,8,4.4,57.5
10,1,4,1.3,44.6
5,4,9,5.6,23.5
10,2,4,2.6,35.7
10,7,7,1.9,12.4
1,12,4,0.1,39.0
10,5,2,4.1,26.4
1,13,4,4.8,20.6
2,9,4,5.6,31.5
2,11,2,7.9,25.0
1,4,2,4.5,62.6
1,3,0,5.2,72.7
5,14,5,4.7,10.0
7,0,2,5.5,57.2
9,10,6,7.4,10.0
9,1,2,7.7,42.5
3,4,6,4.6,44.3
11,3,0,4.7,39.9
3,13,9,6.6,10.0
10,1,5,0.1,44.8
5,4,2,1.5,55.4
4,3,7,1.4,52.6
3,0,0,0.6,86.2
10,3,9,2.9,15.4
4,5,6,6.0,32.0
8,0,1,4.8,53.9
4,11,8,2.1,11.8
6,14,7,7.1,10.0
0,3,4,2.5,70.8
2,10,7,4.2,20.1
5,14,2,0.3,22.3
5,7,9,6.7,10.0
10,1,1,7.8,35.2
0,8,2,7.1,43.2
11,9,0,3.3,21.1
1,5,4,1.3,62.0
3,7,1,2.4,50.7
2,14,5,7.3,10.0
7,10,5,7.8,10.0
4,11,7,0.5,22.7
4,8,0,1.1,55.3
11,13,5,6.6,10.0
5,2,6,1.4,57.4
5,10,1,3.1,29.3
10,8,0,0.3,33.8
10,5,8,1.7,16.2
3,11,0,1.4,39.4
9,7,3,6.5,15.1
10,6,9,0.5,14.5
1,14,6,4.8,12.0
9,0,9,4.7,29.2
3,5,6,7.6,34.3
5,12,1,0.8,29.8
11,2,9,5.1,13.5
6,4,1,6.1,45.6
3,1,2,0.1,83.4
8,13,3,5.2,10.0
7,2,5,0.9,49.1
6,7,8,5.0,16.3
11,13,2,2.3,10.0
6,5,6,0.9,39.8
0,11,5,3.6,35.4
8,10,7,5.0,10.0
6,4,5,2.5,45.2
8,11,1,4.2,14.1
8,2,8,3.0,31.1
7,5,4,7.5,19.1
6,8,8,4.8,10.0
1,1,0,2.6,83.6
11,4,6,1.7,26.7
5,10,6,4.6,12.4
9,7,7,7.8,10.0
6,5,7,3.8,29.4
10,4,2,7.3,27.7
0,7,1,4.2,57.5
0,1,2,6.4,77.6
1,4,6,4.7,51.4
3,0,2,4.7,70.7
8,9,5,3.4,11.9
6,8,1,5.5,29.7
7,7,5,4.0,23.0
2,3,5,6.8,50.6
6,13,2,7.4,10.0
7,0,3,3.9,62.0
3,12,9,2.1,11.5
1,12,4,3.6,25.9
11,1,7,5.6,22.6
8,3,8,4.0,23.5
3,6,6,3.2,40.3
7,14,4,0.2,10.0
0,6,1,1.5,69.7
11,8,6,6.7,10.0
11,12,8,6.1,10.0
9,4,6,0.7,31.8
1,10,6,0.8,33.7
4,2,0,7.5,56.7
7,9,6,6.4,10.0
5,9,5,3.2,23.7
5,14,8,7.8,10.0
3,2,8,7.8,34.8
9,12,3,8.0,10.0
9,3,3,3.0,36.7
2,11,7,4.3,16.6
10,13,2,5.2,10.0
8,1,3,6.5,45.4
0,1,9,1.6,63.8
3,13,8,2.6,10.0
9,14,1,2.9,10.0
10,2,6,6.7,21.9
4,2,9,3.8,42.3
8,3,0,4.6,50.3
4,0,6,6.3,53.3
4,6,2,5.1,45.4
5,4,3,7.3,41.1
4,0,2,1.2,82.0
0,4,3,3.8,70.1
6,3,7,3.1,38.0
0,7,4,6.5,39.6
0,6,0,3.9,65.9
0,8,9,7.4,22.2
7,1,2,2.2,57.5
3,9,9,2.0,21.2
10,11,9,4.7,10.0
10,7,3,0.4,29.7
4,7,1,5.3,41.8
4,11,4,6.1,15.9
1,0,4,2.1,79.5
1,9,6,2.9,36.4
10,9,8,5.3,10.0
2,5,4,4.5,50.3
3,8,8,5.0,20.6
5,14,3,4.5,10.0
6,13,2,4.0,11.6
11,9,1,0.2,22.1
2,8,6,3.0,35.3
2,14,9,4.8,10.0
10,0,2,6.4,40.9
6,3,9,6.9,20.6
0,6,3,2.9,58.3
0,14,3,5.6,15.4
3,10,4,0.7,35.5
0,3,9,2.9,55.8
7,7,7,1.3,19.7
10,8,8,3.8,10.0
9,8,9,5.1,10.0
5,13,6,7.5,10.0
5,1,7,6.8,37.4
4,14,6,1.3,10.0
8,1,4,6.1,43.6
8,6,5,4.6,23.2
2,3,7,6.6,42.1
10,7,6,3.8,10.0
2,11,0,1.6,44.7
6,7,9,0.6,22.1
2,10,2,2.1,43.2
5,12,6,1.6,10.1
7,10,4,4.9,10.0
4,8,9,5.2,12.7
8,14,5,3.5,10.0
4,11,8,3.6,10.0
0,11,2,6.9,32.9
6,10,2,1.2,30.2
11,2,1,0.9,51.5
9,1,1,0.6,61.2
10,6,4,3.8,19.1
9,13,8,6.2,10.0
8,2,4,5.4,38.7
4,0,5,0.7,70.3
7,9,4,4.0,17.1
0,13,1,0.3,46.0
8,6,6,1.0,26.6
10,9,6,1.7,10.0
0,9,6,3.4,39.0
10,10,7,2.9,10.0
10,4,5,5.4,21.9
4,4,8,6.1,30.4
3,11,2,7.3,19.7
9,5,3,4.9,27.4
2,3,3,2.1,67.9
10,7,2,4.1,20.8
7,7,9,5.1,10.0
6,3,6,1.5,44.6
7,13,7,3.3,10.0
10,0,3,2.6,50.4
6,12,1,5.2,15.1
1,7,4,0.7,52.9
9,5,3,6.6,22.4
8,3,1,0.8,55.5
4,10,8,6.7,10.0
1,2,4,1.1,76.4
3,0,1,6.2,66.5
1,14,5,6.9,10.0
6,4,5,4.6,37.7
3,1,5,7.2,49.8
5,9,5,2.3,26.5
3,4,0,2.7,66.2
4,1,0,3.0,74.7
1,12,3,7.7,20.8
10,10,5,0.6,10.0
5,7,3,0.1,44.6
2,8,3,0.4,52.9
1,2,6,3.9,61.2
4,3,5,1.8,53.2
3,11,4,3.9,22.8
8,13,2,4.3,10.0
3,14,7,3.9,10.0
0,0,4,3.6,76.5
6,0,3,3.1,60.7
9,0,2,2.6,50.8
0,14,7,2.6,16.4
4,7,4,1.7,40.6
11,10,6,3.2,10.0
4,0,7,4.4,56.9
5,2,1,7.5,52.1
2,13,3,5.8,21.2
5,5,7,7.3,24.9
11,11,1,1.7,10.0
11,1,8,2.0,28.6
7,9,7,2.4,18.1
2,10,9,7.7,10.0
2,3,8,4.2,48.7
9,5,3,6.6,21.7
9,12,7,6.5,10.0
1,7,1,7.1,45.4
8,12,3,1.6,14.1
3,13,6,4.1,12.8
11,13,6,4.7,10.0
10,12,5,4.1,10.0
5,3,5,6.8,33.3
0,14,0,7.5,24.6
4,3,4,1.8,57.0
4,0,1,0.5,81.2
11,12,3,5.9,10.0
3,13,9,4.1,10.0
5,9,6,7.5,13.5
6,9,0,5.7,29.6
1,12,1,2.5,40.2
11,5,3,4.2,23.0
8,10,3,7.2,10.0
11,1,3,6.8,28.0
2,3,8,3.7,47.8
4,13,5,1.8,16.8
7,13,9,0.9,10.0
9,4,3,1.4,42.3
2,1,2,3.5,74.3
10,13,8,5.7,10.0
11,6,4,1.4,22.9
10,8,7,5.5,10.0
