lighting_percent,crowd_level,police_proximity_m,open_stores_count,historical_crime_rate,safety_score
43.71,38.63,3677.0,12,6.34,27.0
95.56,34.96,1004.1,5,4.8,49.8
75.88,20.85,1798.5,0,1.9,35.8
63.88,59.65,3350.1,5,4.63,43.8
24.04,47.9,2462.2,12,4.32,36.0
24.04,82.91,3719.0,12,4.1,39.6
15.23,7.89,4809.9,12,3.97,18.1
87.96,62.95,671.1,19,1.03,83.5
64.1,73.67,3576.9,3,1.64,46.1
73.73,73.35,1228.7,4,0.92,69.6
11.85,84.75,2130.9,12,2.14,44.4
97.29,70.61,261.0,8,2.31,83.9
84.92,88.5,765.9,16,2.16,82.3
29.11,34.94,1666.9,2,1.87,34.2
26.36,50.29,1775.7,19,6.28,33.9
26.51,6.27,4508.0,17,6.98,7.7
37.38,5.63,3734.9,24,2.85,29.1
57.23,26.61,4863.7,14,2.66,46.0
48.88,14.07,3035.5,22,7.19,23.6
36.21,28.42,1284.4,0,5.34,17.7
65.07,20.93,1705.5,8,2.56,46.1
22.55,7.57,1667.2,5,6.09,11.8
36.29,86.84,1699.8,17,2.99,58.7
42.97,5.74,3397.5,0,5.03,5.0
51.05,71.25,2701.0,21,8.44,37.0
80.67,18.69,1988.6,6,2.63,48.6
27.97,87.1,830.5,9,7.92,37.4
56.28,85.35,208.5,5,2.79,60.7
63.32,63.85,1172.3,6,4.64,56.8
14.18,65.5,626.6,5,3.96,38.5
64.68,5.48,3948.7,7,6.68,19.6
25.35,93.64,651.2,1,0.61,52.4
15.85,84.0,3648.7,8,5.37,35.7
95.4,85.56,1989.7,24,6.49,63.0
96.91,64.33,459.6,8,4.07,76.8
82.76,36.03,4082.4,6,0.98,56.2
37.42,85.43,2940.2,8,2.16,57.7
18.79,31.24,1255.2,16,5.81,27.0
71.58,55.64,4483.9,2,7.62,15.8
49.61,13.98,321.8,15,3.64,41.7
20.98,87.98,1088.9,15,4.81,46.2
54.57,17.67,3785.0,1,2.02,22.7
13.09,25.24,3576.0,10,3.56,23.3
91.84,55.23,1517.4,15,2.93,69.5
33.29,73.77,403.9,14,5.61,54.1
69.63,60.74,4304.6,0,8.37,12.0
38.05,25.89,1637.1,20,6.93,28.8
56.81,5.08,1059.0,16,1.71,45.5
59.2,73.14,2628.7,2,4.95,42.8
26.64,93.67,4560.1,21,0.66,48.2
