latitude,longitude,speed_kmh,off_route_distance_m,halt_duration_sec,is_anomaly
28.587596,77.192934,62.0,45.5,10.0,0
28.676728,77.257815,54.0,36.6,8.0,0
28.626658,77.17612,11.8,17.2,58.0,0
28.616361,77.174448,78.7,57.2,12.0,0
28.627562,77.17205,43.4,93.8,34.0,0
28.643294,77.146908,2.1,134.1,98.0,0
28.629958,77.148107,28.0,49.6,22.0,0
28.62118,77.237531,78.3,21.9,81.0,0
28.610979,77.172125,72.2,18.8,24.0,0
28.677911,77.235796,12.1,69.2,2.0,0
28.597186,77.223588,68.4,39.4,6.0,0
28.610562,77.262503,49.5,30.6,34.0,0
28.6881,77.167576,1.7,59.2,23.0,0
28.626786,77.271542,60.6,65.0,38.0,0
28.607171,77.173207,33.0,21.3,44.0,0
28.642037,77.081379,31.7,38.0,172.0,0
28.621864,77.228013,30.6,98.4,38.0,0
28.573544,77.174741,47.7,39.2,117.0,0
28.622755,77.293491,57.1,47.0,114.0,0
28.570062,77.233549,51.8,81.7,131.0,0
28.701839,77.214241,19.3,16.9,46.0,0
28.622439,77.228578,56.5,161.3,20.0,0
28.56359,77.193631,10.8,33.0,93.0,0
28.590868,77.302714,77.7,93.1,23.0,0
28.648479,77.191094,37.9,28.2,136.0,0
28.555944,77.241665,7.3,83.6,7.0,0
28.746523,77.177552,46.1,26.0,68.0,0
28.537737,77.218583,46.2,110.3,39.0,0
28.656783,77.156649,3.1,8.9,56.0,0
28.58617,77.22993,0.9,29.4,7.0,0
28.570057,77.221741,79.7,67.1,213.0,0
28.637387,77.245942,31.2,80.2,75.0,0
28.587802,77.241907,19.6,11.9,20.0,0
28.690078,77.219956,43.8,30.8,132.0,0
28.540435,77.320475,0.7,8.6,36.0,0
28.638614,77.217586,1.0,143.8,12.0,0
28.596739,77.220458,9.0,329.1,34.0,1
28.625314,77.214239,64.2,26.7,23.0,0
28.636205,77.22863,19.9,52.8,74.0,0
28.523919,77.204196,40.3,56.5,1.0,0
28.6222,77.200087,17.9,14.4,127.0,0
28.664953,77.256103,43.6,88.1,34.0,0
28.633819,77.21608,40.7,58.2,7.0,0
28.592061,77.2712,32.1,57.7,88.0,0
28.53981,77.123806,34.7,4.8,267.0,0
28.635898,77.294641,52.3,6.7,140.0,0
28.704305,77.263262,67.4,266.6,11.0,1
28.643593,77.215928,25.6,224.7,15.0,0
28.668386,77.214623,42.6,1.5,264.0,0
28.657151,77.250534,68.3,62.2,14.0,0
28.590846,77.167182,13.4,5.4,22.0,0
28.615024,77.22042,78.4,126.1,59.0,0
28.653926,77.226258,60.1,4.0,21.0,0
28.531514,77.1163,29.3,63.8,29.0,0
28.643087,77.235898,30.0,77.3,81.0,0
28.673446,77.150888,16.4,8.1,54.0,0
28.607932,77.272648,21.4,72.2,100.0,0
28.651201,77.285403,47.0,227.3,90.0,0
28.582781,77.294028,0.3,8.2,96.0,0
28.612412,77.202378,1.9,92.3,12.0,0
28.596844,77.201679,78.9,25.3,18.0,0
28.633491,77.119686,18.8,25.6,12.0,0
28.605274,77.25251,66.4,62.8,8.0,0
28.526691,77.143067,49.0,210.3,114.0,0
28.574594,77.146043,35.7,21.0,0.0,0
28.707625,77.203313,58.6,400.9,59.0,1
28.638877,77.163214,4.0,7.7,124.0,0
28.505604,77.170413,60.5,225.3,11.0,0
28.670891,77.220855,68.6,1.4,161.0,0
28.552859,77.262574,22.4,14.2,189.0,0
28.655169,77.245475,24.1,299.7,52.0,1
